,Word,POS,Lemma,Synonyms,Antonyms,Example,definition
125,sitting,Noun,seance,"['seance', 'sitting', 'session']",[],"[""the seance was held in the medium's parlor""]",a meeting of spiritualists
126,sitting,Noun,sitting,['sitting'],[],[],a session as of a legislature or court
127,sitting,Verb,sit,"['sit', 'sit_down']",['lie'],[],be seated
128,sitting,Verb,sit,"['sit', 'sit_around']",[],"['The object sat in the corner', 'We sat around chatting for another hour']","be around, often idly or without specific purpose"
129,sitting,Verb,sit_down,"['sit_down', 'sit']",['arise'],[],take a seat
130,sitting,Verb,sit,['sit'],[],['When does the court of law sit?'],be in session
131,sitting,Verb,model,"['model', 'pose', 'sit', 'posture']",[],"[""We don't know the woman who posed for Leonardo so often""]",assume a posture as for artistic purposes
132,sitting,Verb,ride,"['ride', 'sit']",[],"['She never sat a horse!', 'Did you ever ride a camel?', 'The girl liked to drive the young mare']","sit and travel on the back of animal, usually while controlling its motions"
133,sitting,Verb,sit,['sit'],[],['The White House sits on Pennsylvania Avenue'],be located or situated somewhere
134,sitting,Verb,baby-sit,"['baby-sit', 'sit']",[],['I cannot baby-sit tonight'],"work or act as a baby-sitter; I have too much homework to do"""
135,sitting,Verb,seat,"['seat', 'sit', 'sit_down']",[],['The host seated me next to Mrs. Smith'],show to a seat; assign a seat for
136,sitting,Verb,sit,['sit'],[],"['the priest sat for confession', 'she sat on the jury']",serve in a specific professional capacity
137,sitting,Adjective,seated,"['seated', 'sitting']",['standing'],"['the seated Madonna', 'the audience remained seated']",(of persons) having the torso erect and legs bent with the body supported on the buttocks
138,sitting,Adjective Satellite,sitting,['sitting'],[],['a sitting target'],not moving and therefore easy to attack
139,station,Noun,station,['station'],[],"['he started looking for a gas station', 'the train pulled into the station']",a facility equipped with special equipment and personnel for a particular purpose
140,station,Noun,place,"['place', 'station']",[],"['he overstepped his place', 'the responsibilities of a man in his station', 'married above her station']",proper or designated social situation
141,station,Noun,station,['station'],[],[],(nautical) the location to which a ship or fleet is assigned for duty
142,station,Noun,post,"['post', 'station']",[],"['a soldier manned the entrance post', 'a sentry station']",the position where someone (as a guard or sentry) stands or is assigned to stand
143,station,Noun,station,['station'],[],[],the frequency assigned to a broadcasting station
144,station,Verb,station,"['station', 'post', 'send', 'place']",[],[],assign to a station
145,house,Noun,house,['house'],[],"['he has a house on Cape Cod', 'she felt she had to get out of the house']",a dwelling that serves as living quarters for one or more families
146,house,Noun,firm,"['firm', 'house', 'business_firm']",[],['he worked for a brokerage house'],the members of a business organization that owns or operates one or more establishments
147,house,Noun,house,['house'],[],[],the members of a religious community living together
148,house,Noun,house,['house'],[],"['the house applauded', 'he counted the house']",the audience gathered together in a theatre or cinema
149,house,Noun,house,['house'],[],['a bicameral legislature has two houses'],an official assembly having legislative powers
150,house,Noun,house,['house'],[],['the House of York'],aristocratic family line
151,house,Noun,house,['house'],[],['the children were playing house'],play in which children take the roles of father or mother or children and pretend to interact like adults
152,house,Noun,sign_of_the_zodiac,"['sign_of_the_zodiac', 'star_sign', 'sign', 'mansion', 'house', 'planetary_house']",[],[],(astrology) one of 12 equal areas into which the zodiac is divided
153,house,Noun,house,['house'],[],['the house gets a percentage of every bet'],the management of a gambling house or casino
154,house,Noun,family,"['family', 'household', 'house', 'home', 'menage']",[],"['he moved his family to Virginia', 'It was a good Christian household', 'I waited until the whole house was asleep', 'the teacher asked how many people made up his home']",a social unit living together
155,house,Noun,theater,"['theater', 'theatre', 'house']",[],['the house was full'],a building where theatrical performances or motion-picture shows can be presented
156,house,Noun,house,['house'],[],['they had a large carriage house'],a building in which something is sheltered or located
157,house,Verb,house,['house'],[],['This box houses the gears'],contain or cover
158,house,Verb,house,"['house', 'put_up', 'domiciliate']",[],['The immigrants were housed in a new development outside the town'],provide housing for
159,tightly,Adverb,tightly,['tightly'],[],['a tightly packed pub'],in a tight or constricted manner
160,tightly,Adverb,tightly,['tightly'],[],['the window was tightly sealed'],securely fixed or fastened
161,lock,Noun,lock,['lock'],[],[],a fastener fitted to a door or drawer to keep it firmly closed
162,lock,Noun,lock,"['lock', 'curl', 'ringlet', 'whorl']",[],[],a strand or cluster of hair
163,lock,Noun,lock,['lock'],[],[],a mechanism that detonates the charge of a gun
164,lock,Noun,lock,"['lock', 'lock_chamber']",[],[],enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it
165,lock,Noun,lock,"['lock', 'ignition_lock']",[],[],a restraint incorporated into the ignition switch to prevent the use of a vehicle by persons who do not have the key
166,lock,Noun,lock,['lock'],[],[],any wrestling hold in which some part of the opponent's body is twisted or pressured
167,lock,Verb,lock,['lock'],['unlock'],['lock the bike to the fence'],fasten with a lock
168,lock,Verb,engage,"['engage', 'mesh', 'lock', 'operate']",['disengage'],['engaged the gears'],keep engaged
